Education,Marital_Status,Income,Recency,NumDealsPurchases,NumWebVisitsMonth,Complain,Response,Age,Customer_Days,Children,Total_Spending,Cluster,AcceptedCampaigns,TotalPurchases
3,3,7500.0,19,3,5,0,0,51,4474,1,31,2,0,5
2,4,79941.0,72,1,1,0,0,50,4205,0,984,1,0,15
0,3,7500.0,24,3,9,0,1,30,4801,0,122,2,0,7
2,5,41728.0,92,1,10,0,0,58,4605,1,55,2,0,4
2,4,51381.5,96,3,6,0,0,75,4383,3,124,2,0,7
4,3,72550.0,39,9,8,0,0,72,4802,2,1319,0,0,19
2,6,65486.0,29,1,2,0,0,69,4252,1,507,0,0,16
3,3,79143.0,2,1,3,0,0,62,4891,0,1693,1,0,28
2,4,35790.0,54,2,7,0,0,49,4747,1,72,2,0,5
2,2,82582.0,54,1,1,0,1,49,4226,0,1617,3,2,20
2,3,66373.0,57,7,3,0,0,48,4586,2,606,0,0,16
3,5,82384.0,55,1,1,0,1,71,4791,0,1957,3,1,26
2,2,70287.0,30,1,3,0,1,60,4657,0,1093,1,0,20
2,4,27938.0,31,1,3,0,0,38,4266,1,29,2,0,5
2,4,51381.5,57,2,6,0,0,44,4581,1,46,2,0,5
4,3,55954.0,63,3,7,0,0,58,4322,1,518,0,0,16
3,4,75777.0,12,1,1,0,1,44,4564,0,1438,3,2,20
2,5,66653.0,18,4,3,0,0,51,4864,2,612,0,0,18
2,4,61823.0,26,4,7,0,0,74,4700,1,884,0,0,20
4,6,67680.0,8,1,5,0,0,75,4587,1,606,0,0,18
2,5,70666.0,29,1,4,0,0,78,4409,0,1076,1,0,15
2,3,25721.0,75,1,7,0,1,55,4608,1,34,2,0,4
2,5,32474.0,0,1,7,0,0,59,4253,2,11,2,0,3
0,4,88194.0,19,1,5,0,1,47,4306,1,1274,3,2,31
2,5,69096.0,4,1,4,0,0,68,4479,1,653,0,0,17
2,5,74854.0,90,7,5,0,0,56,4651,3,1562,0,0,12
3,3,66991.0,1,3,3,0,0,72,4860,0,1253,1,0,18
0,3,51381.5,25,3,8,0,0,53,4857,1,109,2,0,6
2,3,65031.0,29,4,7,0,0,67,4673,1,863,0,0,26
4,3,60631.0,88,5,7,0,0,51,4654,2,661,0,1,19
2,3,28332.0,58,1,2,0,0,74,4264,0,65,2,0,7
2,2,40246.0,68,1,6,0,0,49,4761,1,13,2,0,3
3,3,75251.0,34,1,5,0,1,54,4875,0,1890,1,0,18
2,4,75825.0,40,0,4,0,1,50,4829,0,2209,3,1,22
0,5,26326.0,12,1,3,1,0,50,4502,0,18,2,0,3
2,5,56046.0,9,2,8,0,1,61,4747,0,692,0,1,19
2,4,29760.0,87,4,8,0,0,41,4873,1,165,2,0,8
2,3,26304.0,5,1,7,0,0,57,4575,1,16,2,0,3
0,3,23559.0,87,3,7,0,0,53,4565,1,79,2,0,6
2,2,81361.0,18,1,1,0,0,39,4328,0,778,1,0,26
2,3,29440.0,95,2,7,0,0,66,4526,2,56,2,0,5
3,3,36138.0,48,5,7,0,0,56,4552,2,151,2,1,8
2,4,50388.0,3,4,7,0,1,69,4236,1,372,0,2,13
2,3,79593.0,70,1,2,0,0,53,4252,0,1366,1,1,18
2,5,54178.0,79,1,2,0,0,59,4363,1,194,2,0,9
4,3,51381.5,4,12,9,0,0,69,4791,3,603,0,0,17
2,4,51381.5,45,1,7,0,0,69,4237,2,18,2,0,3
3,5,51381.5,87,1,1,0,0,53,4422,0,985,1,0,14
3,4,42394.0,69,1,7,0,0,54,4302,1,32,2,0,4
4,3,23626.0,84,3,5,0,0,56,4240,1,43,2,0,7
2,3,30096.0,30,1,6,0,0,43,4242,1,45,2,0,5
2,6,47916.0,72,5,6,0,0,66,4788,1,606,0,1,17
2,2,51813.0,37,2,7,0,0,54,4648,2,63,2,0,5
0,3,78497.0,44,1,2,0,0,75,4414,0,978,1,1,24
4,3,50150.0,32,2,5,0,0,43,4578,0,410,0,0,14
0,4,47823.0,0,2,8,0,0,66,4545,1,72,2,0,5
4,4,34554.0,43,2,6,0,0,67,4295,1,55,2,0,5
2,5,85693.0,59,2,5,0,0,47,4639,1,1169,1,0,25
4,3,65846.0,68,1,4,0,0,81,4612,0,1120,1,0,15
2,3,87195.0,35,1,1,0,1,67,4256,0,1097,1,0,19
1,5,24594.0,94,1,5,0,0,47,4405,1,29,2,0,4
2,3,49096.0,15,4,7,0,0,62,4482,2,187,2,0,9
2,3,52413.0,56,4,6,0,0,57,4716,2,910,0,0,22
2,4,38557.0,17,2,7,0,0,48,4761,1,145,2,0,7
3,3,89058.0,18,1,2,0,0,66,4773,0,850,1,0,13
2,5,77298.0,46,1,3,0,0,47,4443,1,969,1,0,23
4,4,68126.0,40,1,9,0,1,35,4800,0,1820,3,1,16
3,5,57288.0,27,3,6,0,0,63,4208,1,608,0,1,17
2,4,86037.0,95,1,3,0,1,35,4747,0,730,3,2,24
4,3,43974.0,19,5,7,0,0,46,4768,1,551,0,0,16
2,4,50785.0,27,2,6,0,0,64,4496,2,114,2,0,6
2,3,90765.0,25,0,1,0,0,56,4360,0,1724,3,2,15
0,3,36550.0,74,5,9,0,0,48,4699,1,577,0,0,15
0,5,30753.0,85,2,5,0,0,59,4557,2,81,2,0,5
2,5,21918.0,37,2,6,0,0,57,4431,1,33,2,0,5
3,5,56129.0,65,4,4,0,0,73,4578,1,660,0,0,18
3,4,32557.0,13,3,5,0,1,59,4329,1,80,2,0,6
3,3,19510.0,63,2,7,0,0,41,4502,2,30,2,0,4
2,2,30992.0,83,1,7,0,0,50,4637,1,43,2,0,4
2,4,101970.0,69,0,2,0,1,43,4678,0,1135,3,3,27
0,5,71488.0,87,2,1,0,0,61,4700,0,559,1,0,14
2,4,79607.0,37,1,1,0,1,42,4638,0,1923,1,0,15
3,3,54348.0,51,2,6,0,0,73,4225,2,90,2,0,6
4,3,51381.5,23,3,6,0,0,65,4557,1,404,0,0,14
4,5,77376.0,72,4,4,0,0,70,4254,2,661,0,0,19
2,3,62998.0,10,5,5,0,0,74,4476,1,463,0,0,14
3,1,61331.0,42,5,8,0,0,68,4680,2,632,0,0,18
2,3,73448.0,10,1,4,0,0,57,4343,0,725,1,0,18
2,3,51381.5,96,1,4,0,0,63,4526,1,725,0,0,18
4,3,41551.0,51,5,8,0,0,62,4523,2,279,0,0,11
4,5,62981.0,21,1,3,0,0,59,4673,0,1482,1,1,22
1,2,9548.0,31,2,8,0,0,50,4894,1,29,2,0,4
4,3,33762.0,61,3,8,0,0,67,4561,3,106,2,0,6
4,1,35860.0,37,2,5,0,1,53,4245,2,49,2,1,4
4,2,36921.0,74,2,7,0,0,61,4540,2,38,2,0,5
3,4,92859.0,46,1,2,0,0,34,4822,0,2077,1,0,21
3,5,65104.0,4,2,7,0,1,50,4431,1,1053,0,0,15
2,3,86111.0,73,1,2,0,0,64,4640,0,1385,1,0,22
4,4,68352.0,47,3,6,0,0,52,4509,1,871,0,0,22
2,5,41883.0,13,3,7,0,0,38,4671,1,312,2,0,9
2,3,59809.0,36,3,8,0,0,50,4823,2,877,0,0,12
2,3,23957.0,47,1,6,0,1,51,4813,1,68,2,0,5
2,5,38547.0,49,1,8,1,0,45,4509,1,22,2,0,3
0,3,35688.0,94,7,8,0,0,53,4880,3,211,0,0,9
3,3,49605.0,65,1,3,0,0,60,4212,0,127,2,0,7
3,3,59354.0,59,1,3,0,0,73,4270,2,459,0,0,15
2,3,65747.0,96,4,6,0,0,57,4318,1,460,0,1,15
0,5,46344.0,28,4,7,0,0,54,4766,1,429,0,0,13
2,1,34176.0,12,4,6,0,0,38,4252,1,89,2,0,7
4,5,61010.0,57,2,5,0,0,74,4832,1,1021,0,0,24
2,5,69372.0,10,1,4,0,1,77,4699,0,1381,3,2,20
2,4,49967.0,4,3,7,0,0,68,4560,1,306,0,0,12
2,4,60199.0,49,1,4,0,0,48,4494,3,18,2,0,3
2,5,55375.0,3,1,2,0,0,49,4459,1,162,2,0,8
2,4,80317.0,64,1,1,0,0,71,4517,0,1231,1,0,17
3,4,30523.0,0,1,7,0,0,68,4567,3,13,2,0,3
4,3,70356.0,20,2,6,0,0,81,4805,0,1706,1,0,25
2,3,23228.0,91,4,8,0,0,42,4379,1,121,2,0,7
4,2,74165.0,9,1,2,0,0,51,4628,0,1293,1,0,19
2,5,43482.0,83,3,6,0,0,60,4432,3,88,2,0,6
2,2,62551.0,27,1,3,0,0,73,4427,0,421,1,1,17
2,2,52332.0,63,1,4,0,0,67,4509,0,259,2,1,11
2,4,66951.0,46,1,1,0,0,38,4443,0,1117,1,0,14
2,5,26091.0,84,3,5,0,0,69,4328,2,89,2,0,6
2,5,33456.0,58,2,7,0,0,61,4273,2,36,2,0,4
2,3,28718.0,78,2,8,0,0,44,4555,1,57,2,0,5
2,3,50447.0,4,1,6,0,0,56,4273,2,148,2,0,7
4,5,53537.0,17,2,5,0,0,67,4354,2,93,2,0,6
2,4,52074.0,77,1,4,0,0,59,4290,1,119,2,1,6
4,3,80427.0,56,1,5,0,0,51,4859,1,1835,1,0,27
4,3,83837.0,79,1,4,0,1,78,4764,0,1318,3,2,24
4,3,38853.0,90,2,7,0,0,56,4241,2,45,2,0,5
2,5,38285.0,96,1,2,0,0,67,4209,3,10,2,0,3
4,3,51650.0,81,1,5,0,0,50,4253,1,191,2,0,9
0,3,16248.0,77,3,6,0,0,38,4254,1,57,2,0,6
3,3,66835.0,21,1,2,0,0,80,4478,0,1033,1,0,23
3,3,30477.0,16,1,6,0,0,42,4362,1,66,2,0,5
1,3,28249.0,80,1,6,0,0,65,4218,0,43,2,0,5
2,3,25271.0,45,1,9,0,0,43,4775,1,50,2,0,4
4,4,32303.0,63,2,5,0,0,56,4317,1,39,2,0,5
2,3,61286.0,34,2,5,0,0,60,4535,1,608,0,0,16
2,3,74068.0,14,1,2,0,0,50,4671,0,1581,1,0,23
4,3,45759.0,13,2,7,0,0,62,4695,2,68,2,0,5
1,5,24882.0,52,1,6,0,0,48,4862,1,80,2,1,4
4,5,66973.0,98,1,3,0,0,37,4612,0,1282,1,0,27
0,2,36640.0,99,1,5,1,0,126,4480,1,65,2,0,5
2,3,38872.0,93,2,8,0,0,38,4599,1,91,2,0,6
2,3,51148.0,38,4,6,0,0,53,4700,2,315,0,0,12
2,3,31353.0,24,2,8,0,0,49,4386,2,31,2,0,4
3,3,69661.0,80,1,3,0,0,46,4251,0,834,1,0,22
2,3,80067.0,82,1,2,0,0,72,4487,0,1600,1,1,16
2,3,86718.0,20,1,2,0,0,72,4732,0,1270,1,0,16
4,4,46854.0,81,6,8,0,1,53,4294,2,263,0,1,9
2,2,69142.0,50,3,5,0,0,74,4204,1,535,0,1,16
2,4,75922.0,60,1,1,0,0,58,4406,0,1295,1,0,17
2,2,63693.0,63,3,6,0,0,48,4462,1,1150,0,0,26
4,5,102160.0,54,0,4,0,1,49,4808,0,1240,3,3,26
4,4,40637.0,72,2,7,0,0,61,4551,2,38,2,0,4
3,4,18890.0,5,1,6,0,1,42,4800,0,35,2,1,3
2,5,29604.0,88,1,9,0,0,38,4407,1,53,2,1,4
3,2,48721.0,50,6,6,0,0,63,4616,2,293,0,0,11
2,3,44794.0,99,1,6,0,0,60,4225,1,65,2,0,5
2,2,64497.0,17,5,8,0,1,72,4861,1,1804,0,1,24
2,5,46097.0,11,5,4,0,0,70,4659,1,241,0,0,10
2,5,77972.0,18,1,1,0,0,72,4307,0,1101,1,0,19
4,3,44377.0,70,8,8,0,0,58,4836,2,264,0,0,11
3,5,46014.0,21,10,7,0,0,52,4728,2,541,0,0,16
2,3,70951.0,66,1,1,0,0,41,4625,0,1198,1,0,16
2,3,41443.0,79,6,8,0,0,49,4293,1,482,0,0,14
0,4,52195.0,2,1,8,0,0,48,4252,3,17,2,0,3
3,3,83790.0,81,1,3,0,0,78,4430,0,1615,3,2,24
3,6,44551.0,24,2,7,0,0,72,4506,1,285,2,0,10
2,5,69508.0,48,2,6,0,0,46,4796,1,1135,0,0,26
0,5,45204.0,93,1,3,0,0,38,4283,1,114,2,0,6
2,3,72460.0,56,1,1,0,0,57,4431,0,1047,1,0,15
4,5,77622.0,3,2,3,0,0,56,4280,2,714,0,0,20
4,3,30732.0,44,4,8,0,0,46,4744,1,185,2,0,9
2,2,63887.0,38,5,6,0,0,64,4863,1,1245,0,0,27
2,5,42011.0,46,4,8,0,0,48,4664,1,189,2,0,8
2,5,51369.0,84,2,8,0,0,50,4816,1,576,0,0,14
2,2,51537.0,27,3,8,0,0,74,4771,1,1103,0,0,15
4,3,79930.0,72,1,2,0,0,54,4894,0,1753,1,0,16
4,5,34320.0,66,1,8,0,0,40,4337,1,17,2,0,3
2,4,37070.0,30,9,7,0,1,60,4670,2,433,0,0,14
0,2,81975.0,2,1,7,0,0,64,4744,1,1588,1,1,13
2,5,38590.0,65,1,8,0,0,55,4614,1,22,2,0,3
2,4,15033.0,37,1,3,0,0,75,4278,0,19,2,0,4
4,3,62745.0,89,3,5,0,0,61,4667,1,1117,0,0,26
0,3,22212.0,49,2,6,0,0,51,4406,1,69,2,0,6
3,5,23661.0,46,1,7,0,0,44,4411,1,23,2,0,4
4,4,79761.0,32,1,3,0,0,68,4472,1,605,0,0,18
2,4,7500.0,54,4,7,0,0,53,4389,1,57,2,0,7
0,4,60182.0,23,1,4,0,0,133,4247,1,22,2,0,3
2,6,73455.0,98,1,3,0,0,58,4448,0,2088,1,1,21
2,5,64961.0,97,2,3,0,0,68,4757,1,1009,1,0,14
2,4,22804.0,75,1,9,0,0,55,4537,1,26,2,0,4
2,3,73687.0,8,1,2,0,1,36,4417,0,1627,3,1,21
2,3,61074.0,37,7,7,0,0,68,4885,1,1102,0,0,24
4,3,31686.0,31,2,6,0,0,62,4228,2,17,2,0,4
2,3,80134.0,40,2,6,0,1,54,4609,1,1690,3,3,14
2,3,75027.0,74,2,5,0,0,73,4740,1,1390,0,0,19
4,3,67546.0,90,1,3,0,0,38,4871,0,2126,1,0,19
3,5,65176.0,57,4,6,0,0,57,4812,1,1531,1,0,21
3,4,31160.0,59,2,8,0,0,51,4490,1,64,2,0,5
2,4,29938.0,52,2,6,0,0,41,4449,1,26,2,0,4
2,2,102692.0,5,1,2,0,1,52,4654,0,1112,3,4,28
0,5,26490.0,92,2,6,0,0,68,4849,0,210,2,0,9
2,5,75702.0,77,5,8,0,0,59,4873,2,1148,0,0,21
4,4,30899.0,35,2,6,0,0,52,4828,1,33,2,0,4
4,5,63342.0,48,3,6,0,0,65,4825,1,1101,0,1,16
2,4,45989.0,97,4,3,0,0,62,4819,1,322,0,0,12
2,4,18701.0,95,4,5,0,0,62,4594,2,44,2,0,6
4,4,40737.0,24,1,8,0,0,69,4407,3,17,2,0,3
2,2,15287.0,60,2,7,0,1,47,4831,1,31,2,1,4
4,2,69674.0,46,3,5,0,0,58,4607,2,845,0,0,22
3,3,44159.0,85,4,5,0,0,56,4216,1,275,2,0,11
4,3,37717.0,31,1,9,0,0,48,4787,1,25,2,0,3
3,5,43776.0,9,6,8,0,1,74,4715,2,275,0,0,11
3,3,38179.0,30,4,7,0,0,60,4676,2,90,2,0,7
2,3,80124.0,47,1,1,0,0,63,4207,0,1495,1,1,18
4,3,38097.0,70,4,7,0,1,56,4826,2,184,0,1,7
2,3,72940.0,13,1,1,0,0,56,4579,0,981,1,0,12
2,5,22070.0,11,2,6,0,0,56,4472,1,67,2,0,6
2,4,69267.0,31,2,7,0,1,73,4849,0,1635,1,0,12
3,4,31788.0,15,3,5,1,0,43,4305,1,60,2,0,7
4,5,61905.0,2,2,5,0,0,51,4349,1,231,2,0,10
2,3,29315.0,55,4,6,0,0,66,4288,2,48,2,0,6
2,2,33378.0,38,3,7,0,0,63,4712,2,99,2,0,6
4,5,66313.0,86,2,4,0,0,63,4490,1,770,0,0,21
2,4,60714.0,56,2,5,0,1,70,4732,0,957,1,0,21
3,5,77882.0,29,1,1,0,0,45,4264,0,818,1,0,11
4,4,69867.0,30,1,1,0,1,40,4657,0,925,3,1,16
3,2,63841.0,64,1,6,0,0,58,4638,1,908,0,0,21
1,3,24480.0,46,3,7,0,0,45,4707,1,102,2,0,7
4,5,65640.0,74,1,2,0,0,52,4324,1,461,0,0,14
3,3,44319.0,18,2,5,0,0,51,4277,2,37,2,0,5
2,3,30631.0,75,1,7,0,0,52,4556,1,70,2,0,6
2,5,75278.0,17,1,3,0,0,74,4720,0,930,1,0,22
3,5,50898.0,88,13,5,0,0,70,4741,2,859,0,0,20
2,6,79946.0,19,1,3,0,0,60,4252,0,1478,1,0,21
3,2,35416.0,62,3,8,0,0,77,4585,0,390,0,0,13
0,5,32414.0,11,1,7,0,0,42,4564,0,52,2,1,4
2,5,38361.0,74,3,7,0,0,57,4388,1,137,2,0,7
2,3,82497.0,32,1,4,0,0,46,4810,0,1919,1,1,18
2,5,16626.0,76,3,9,0,0,55,4369,2,68,2,0,6
2,5,29672.0,6,1,6,0,0,61,4678,2,25,2,0,3
3,5,55951.0,62,3,8,0,0,74,4879,1,1374,0,2,20
0,2,35388.0,20,1,7,0,0,38,4683,1,32,2,0,4
3,5,42386.0,43,1,8,0,0,40,4736,1,100,2,0,6
2,4,68627.0,45,1,1,0,0,44,4737,0,825,1,0,11
4,2,57912.0,34,5,5,0,0,61,4308,1,916,0,1,23
2,2,35246.0,53,4,5,0,0,68,4278,2,62,2,0,7
0,5,58821.0,44,1,6,0,0,70,4464,1,728,0,0,20
4,3,46377.0,89,1,4,0,0,48,4324,1,90,2,0,6
2,4,39747.0,43,3,8,0,0,38,4281,1,273,2,0,10
2,5,23976.0,68,3,7,0,0,42,4388,1,66,2,0,7
3,3,80950.0,44,1,2,0,0,65,4662,0,1213,1,1,22
2,6,27038.0,64,1,9,0,1,60,4853,0,107,2,0,6
2,4,77457.0,85,1,1,0,0,79,4320,0,1157,1,1,17
3,3,64100.0,93,1,7,0,0,62,4496,1,546,0,1,17
3,5,42670.0,12,1,4,0,0,34,4632,0,241,2,0,10
2,2,12571.0,86,4,6,0,0,50,4366,1,53,2,0,7
2,3,22574.0,28,2,7,0,0,59,4448,3,37,2,0,5
2,3,51381.5,69,1,3,0,0,37,4595,0,1611,3,2,23
3,4,70893.0,42,1,3,0,0,50,4712,0,1508,1,0,22
2,3,54198.0,13,6,4,0,0,60,4398,2,235,0,0,10
3,5,28839.0,86,2,5,0,0,70,4314,2,32,2,0,5
2,3,40321.0,59,2,7,0,0,54,4539,2,102,2,0,6
2,4,66503.0,30,2,3,0,0,41,4888,1,401,0,0,13
2,3,30833.0,33,2,5,0,0,75,4552,2,28,2,0,4
2,4,51381.5,67,6,7,0,0,56,4514,3,1052,0,2,15
2,3,64795.0,23,3,2,0,0,55,4732,1,680,0,0,18
2,3,34421.0,81,1,7,0,0,52,4567,1,30,2,0,3
4,2,47025.0,6,1,7,0,0,61,4344,2,20,2,0,3
4,2,64325.0,41,5,7,0,0,65,4711,1,1307,0,0,18
2,4,40464.0,78,6,8,0,0,73,4738,1,630,0,0,18
2,3,62187.0,49,1,3,0,0,69,4563,0,1283,1,0,17
4,2,14849.0,39,3,8,0,0,50,4566,1,65,2,0,6
2,3,27255.0,3,1,7,0,0,42,4438,1,37,2,0,4
4,3,54432.0,37,1,4,0,0,76,4620,3,38,2,0,4
4,4,29999.0,22,4,8,0,0,40,4705,1,160,2,0,8
2,4,24072.0,79,1,8,0,0,43,4643,1,23,2,0,3
4,4,33996.0,46,1,4,0,0,37,4495,0,71,2,0,5
4,3,66334.0,82,2,5,0,1,70,4656,1,1161,0,0,17
3,3,35178.0,10,1,7,0,1,55,4739,1,59,2,1,4
2,5,22010.0,51,2,8,0,0,43,4568,1,33,2,0,5
2,2,62204.0,38,1,3,0,0,66,4859,2,946,0,0,21
2,2,75693.0,10,1,4,0,1,58,4774,0,1442,3,3,21
2,3,30675.0,14,1,8,0,0,54,4798,1,62,2,0,4
2,5,83003.0,18,1,3,0,1,61,4687,0,1674,3,1,21
4,5,83532.0,36,1,1,0,0,127,4480,0,1853,1,1,14
2,4,68655.0,95,1,3,0,0,38,4892,0,1538,1,0,20
2,2,41411.0,11,1,6,0,0,40,4408,0,139,2,0,7
4,3,55212.0,65,3,8,0,0,57,4787,1,1182,0,2,17
4,5,59292.0,71,2,3,0,0,76,4585,1,507,0,0,16
1,5,27190.0,13,1,8,0,1,53,4522,1,18,2,1,3
2,2,82623.0,58,1,1,0,0,74,4435,0,940,1,0,15
2,3,44300.0,65,2,6,0,0,61,4575,2,42,2,0,4
2,2,84835.0,0,1,1,0,1,56,4217,0,1190,1,0,14
2,6,30372.0,33,3,7,0,0,55,4755,2,44,2,0,5
3,3,33181.0,90,1,6,0,0,50,4381,1,16,2,1,3
2,3,71113.0,95,4,4,0,0,69,4398,1,835,0,0,22
2,3,71952.0,93,2,4,0,0,40,4739,1,1443,3,2,20
4,4,69759.0,38,3,3,0,1,60,4448,0,1029,1,0,15
2,3,72099.0,18,1,1,0,0,52,4814,0,1188,1,0,17
4,4,60000.0,57,5,6,0,0,50,4758,1,1277,0,0,19
2,4,38643.0,45,2,7,1,0,48,4416,2,49,2,0,5
2,3,50737.0,61,1,6,0,0,71,4618,1,99,2,1,6
4,3,68462.0,6,1,1,0,0,57,4768,0,1670,1,0,14
3,3,65073.0,65,1,2,1,0,83,4517,0,900,1,0,13
4,5,46681.0,52,2,5,0,0,78,4468,2,425,0,0,14
2,3,78618.0,87,1,2,0,0,69,4843,0,2153,1,1,21
4,6,62187.0,38,3,4,0,0,57,4303,1,636,0,0,18
2,3,28442.0,53,3,4,0,0,48,4329,2,57,2,0,7
2,3,51479.0,67,7,7,0,0,59,4752,2,494,0,0,15
2,4,54803.0,65,2,4,0,0,57,4881,1,693,0,0,17
2,3,79530.0,64,1,2,0,0,66,4612,0,1348,1,0,25
2,2,31615.0,82,2,7,0,0,50,4674,1,51,2,0,5
2,5,72025.0,27,1,3,0,0,64,4793,0,1932,1,0,15
4,4,52614.0,63,2,8,0,0,51,4779,1,990,0,0,14
0,3,35684.0,66,1,6,0,0,42,4272,1,30,2,0,4
2,3,48178.0,69,6,8,0,0,51,4813,2,254,0,0,10
3,4,29548.0,52,1,4,0,0,56,4508,1,29,2,1,4
2,4,63810.0,45,4,8,0,0,60,4799,1,1371,0,1,19
4,4,38578.0,2,3,8,0,1,54,4576,2,73,2,0,6
3,4,46098.0,86,4,8,0,0,51,4884,2,120,2,0,7
2,4,22585.0,23,1,9,0,1,56,4672,0,81,2,1,4
2,4,30279.0,13,1,8,0,0,37,4750,1,37,2,0,4
4,5,66426.0,14,2,6,0,0,65,4474,1,1377,0,0,18
2,4,30822.0,92,1,7,0,0,57,4584,1,51,2,0,4
4,3,33581.0,38,1,8,0,0,57,4741,2,17,2,0,3
2,3,19986.0,74,1,7,0,0,41,4431,1,22,2,0,3
2,6,27421.0,14,3,7,0,0,72,4768,0,324,2,0,11
3,4,36143.0,33,1,3,0,0,45,4295,1,19,2,0,3
2,4,10245.0,32,3,5,0,0,55,4614,1,41,2,0,5
3,5,43795.0,11,3,7,0,1,58,4460,1,492,0,1,14
2,5,63381.0,78,4,2,0,0,66,4836,1,1005,0,0,22
2,5,38823.0,56,1,6,0,0,77,4872,1,114,2,0,6
4,2,83664.0,57,3,5,0,0,58,4621,2,1173,0,0,16
2,5,90300.0,7,0,1,0,0,47,4381,0,1738,1,1,19
3,5,62499.0,0,2,4,0,0,47,4406,1,222,2,0,10
2,4,74293.0,66,1,2,0,0,33,4260,0,1127,1,0,15
4,3,51012.0,86,1,6,0,0,80,4641,0,209,2,0,9
3,3,70777.0,80,3,3,0,0,58,4328,1,787,0,0,20
4,5,68682.0,56,1,2,0,0,35,4470,0,1598,1,0,23
2,3,43824.0,18,4,8,0,0,55,4856,2,186,2,0,8
2,5,15345.0,51,2,8,0,1,42,4871,1,47,2,0,4
2,4,23442.0,71,1,7,0,0,39,4756,1,27,2,0,4
0,5,14515.0,71,4,7,0,1,46,4801,1,96,2,0,7
0,2,31395.0,80,4,6,0,0,70,4667,2,64,2,0,6
2,5,75276.0,2,1,5,0,0,61,4844,0,1040,1,0,22
2,4,42373.0,83,5,5,0,0,52,4522,2,163,2,0,8
2,5,30507.0,29,1,7,0,0,66,4679,0,343,2,0,10
4,4,55521.0,11,9,7,0,1,71,4454,3,446,0,1,15
2,3,48006.0,55,1,6,0,0,61,4224,2,41,2,0,4
4,4,27213.0,19,3,8,0,1,54,4872,1,70,2,0,6
4,2,65808.0,1,3,6,0,0,55,4234,2,272,2,0,11
4,5,30351.0,19,1,9,0,0,52,4592,1,46,2,0,5
2,3,50437.0,28,3,7,0,0,63,4824,2,490,0,0,16
