Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Age,Customer_Days,Children,Total_Spending,AcceptedCampaigns,TotalPurchases,Cluster,pca_1,pca_2,pca_3,tsne_1,tsne_2,tsne_3,umap_1,umap_2,umap_3
0,4,33812.0,1,0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,3,11,0,41,4807,1,133,0,6,2,-1.7101128612146967,-0.4029640302614968,-1.25300518652375,-23.359701,-1.6046628,-4.384525,4.2809687,2.0410705,7.8397646
2,3,37040.0,0,0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,3,11,0,44,4894,0,316,0,11,2,-0.8432125958194274,0.044216578681165554,-1.7266433034611903,-22.914618,6.7750034,-3.357949,3.9985766,3.2116375,8.5862875
2,3,2447.0,1,0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,3,11,0,47,4743,1,1730,0,28,0,0.16801657119981295,4.020188857504677,1.3245861820609337,6.0481715,3.4788792,-14.086544,3.8098898,4.4383354,4.1656766
4,3,58607.0,0,1,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,3,11,0,77,4757,1,972,1,14,0,0.5423853602756922,1.6036383857463794,1.0253907345238948,2.571673,7.405448,2.249397,4.2745705,6.1560965,5.8434873
4,3,65324.0,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,3,11,0,72,4373,1,544,0,17,1,0.6562936683179023,-0.013071033725511844,1.4500246460589314,-0.71151453,1.1980981,10.376613,4.7221622,6.408703,7.4182725
2,5,40689.0,0,1,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0,75,4672,1,444,0,13,0,-1.1452433937901592,1.9456594392022213,1.5053238164963108,3.8015554,-1.9678798,-9.371189,4.2429833,4.8430996,4.822126
2,4,18589.0,0,0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,3,11,0,57,4747,0,75,0,6,2,-1.5848535431471305,-0.4169124447513633,-0.592183288726656,-13.716787,-10.241021,-9.215153,3.9536848,4.2847624,8.145433
2,3,53359.0,1,1,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,3,11,0,50,4602,2,257,0,10,0,-1.4680966961347233,0.9057580360099332,-0.14729252290233122,-4.2785816,12.623704,-7.870347,4.4810047,3.2395887,3.9927483
2,4,51381.5,1,0,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,3,11,0,40,4698,1,637,0,27,1,1.340507026059976,-0.8445824904088929,-0.5397480426873701,5.2200103,-1.9609108,11.477814,5.118861,7.293734,6.809818
2,3,38360.0,1,0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,3,11,0,37,4598,1,131,0,7,2,-1.0331798388594613,-0.9826046796359109,-1.0883560810562278,-16.762928,1.4904971,11.126662,4.994198,3.7233624,8.553177
4,3,84618.0,0,0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,3,11,0,61,4423,0,1672,1,25,1,3.64606615622798,-0.7869406709068703,1.2360633060673043,23.115795,-3.0714319,8.345523,6.591229,9.804282,6.734469
3,2,10979.0,0,0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,3,11,0,37,4242,0,30,0,6,2,-1.6384329280959005,-1.9120299937057146,-1.3436376709276883,-18.396584,6.762866,10.570035,5.1926293,3.6991048,9.007869
3,5,38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,63,4618,0,318,0,10,1,0.07417968330025482,-1.1902987591911325,0.27622902777209635,-6.994359,-16.127317,6.433915,5.583277,5.1793633,7.0482717
2,5,40548.0,0,1,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,3,11,0,56,4831,1,120,1,7,2,-0.6840092570362555,0.21772845239026606,-0.8258523281637637,-2.218154,-5.550563,-2.6017995,4.097426,3.283535,7.283249
4,2,46610.0,0,2,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,3,11,1,74,4812,2,302,0,11,0,-0.7446458894530535,3.257360086303721,0.16557053579213876,7.892436,12.798537,-10.90501,16.21253,3.0635717,1.0183487
3,3,68657.0,0,0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,3,11,0,80,4698,0,1196,0,17,1,1.395233933075774,0.40695539889543914,0.461472173752278,11.59279,-5.3241982,5.9829636,4.967173,8.054468,6.970737
3,4,49389.0,1,1,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,3,11,0,75,4508,2,65,0,5,2,-1.5658907949192216,-0.22098313173069709,1.2964190810017757,-5.7979064,5.976386,-5.489898,5.1154447,2.6400387,4.8233414
4,3,67353.0,0,1,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,3,11,0,56,4384,1,913,0,23,1,1.3867007654380483,0.33402687665445147,1.643312159239661,4.1988854,-9.754418,3.1675696,4.4344187,6.71941,6.8402658
0,3,23718.0,1,0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,3,11,0,50,4504,1,81,0,6,2,-2.162570955462365,-0.6012347299682499,-0.8001484922766975,-24.976286,-1.510289,-0.8595967,4.295271,1.6475713,8.25178
2,6,42429.0,0,1,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,3,11,0,53,4342,1,67,0,5,2,-1.2805936239371263,-1.4795484183772274,0.6391578916234723,-17.313612,-11.1799135,6.1653795,5.6107416,3.268865,6.9169307
4,2,48948.0,0,0,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,3,11,1,83,4717,0,902,1,22,3,2.046043479961477,1.7485100235589979,-0.40908465351346834,11.739878,7.784128,-12.361258,16.473577,4.0792723,1.6988419
2,3,80011.0,0,1,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,3,11,0,46,4630,1,1395,0,19,1,1.557431758620578,0.11481159574463987,-0.30659675904012185,6.5305586,-2.908574,9.353754,4.937981,7.530114,6.754793
3,3,20559.0,1,0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,3,11,0,41,4678,1,53,0,5,2,-2.2726403256090966,-0.15313659057241807,-0.7447978834638551,-17.473984,0.8446564,-3.8662887,5.286315,2.550797,7.991042
2,5,21994.0,0,1,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,3,11,0,69,4756,1,22,0,3,2,-1.6750919354463734,-0.41718078287687754,-0.3794494978629799,-8.610516,-4.4267964,-1.8251843,4.165629,4.261961,6.902544
4,4,51381.5,0,0,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,3,11,0,67,4440,0,186,0,8,1,0.3415792102661291,-1.7522690271253434,1.131079047307316,-8.345303,-15.062385,5.686514,5.6229525,5.2582817,7.197232
3,3,7500.0,1,0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,3,11,0,51,4474,1,31,0,5,2,-2.1376912366897836,-0.5513150341180847,-0.5282703441381456,-13.638191,5.1093864,5.53466,5.3080072,3.4913177,8.629519
2,4,79941.0,0,0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,3,11,0,50,4205,0,984,0,15,1,1.9274071435938231,-2.421845297255829,0.5683169869534628,16.42049,-9.2487755,14.205469,6.068329,8.969352,6.787476
0,3,7500.0,0,0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,3,11,1,30,4801,0,122,0,7,2,-1.9401292185959107,0.9040733905662827,-4.340236386061321,2.0892088,15.863853,-17.809048,15.7046,2.5190785,1.2502689
2,5,41728.0,1,0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,3,11,0,58,4605,1,55,0,4,2,-1.9899888011117408,-0.3267280257497605,-0.060079087154844106,-14.500051,-4.410443,-2.7502491,4.7921314,3.0816972,7.526896
2,4,51381.5,2,1,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,3,11,0,75,4383,3,124,0,7,2,-1.8521511665265287,0.134980820534999,2.326937920760839,-5.699491,-0.13933416,-8.261851,5.1033125,2.6514614,5.123408
4,3,72550.0,1,1,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,3,11,0,72,4802,2,1319,0,19,0,0.14607647457242456,3.9577497722097625,2.407241702999496,5.1224704,2.9107904,-9.6637125,3.7982283,4.419759,4.1068544
2,6,65486.0,0,1,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,3,11,0,69,4252,1,507,0,16,1,0.8876650601642188,-1.6336308117337606,1.3472118181463653,5.0832253,-6.9721847,16.013283,6.011583,6.906825,6.7101603
3,3,79143.0,0,0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,3,11,0,62,4891,0,1693,0,28,3,3.157132747959358,0.5881276775176512,0.1282240873632607,13.347238,-7.971358,5.901325,5.1926966,8.631568,7.059344
2,4,35790.0,1,0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,3,11,0,49,4747,1,72,0,5,2,-1.7395291191104647,-0.06417269954622488,-0.7171587519216146,-17.530298,-3.624088,-5.156938,4.3943987,3.150475,7.6275396
2,2,82582.0,0,0,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,3,11,1,49,4226,0,1617,2,20,3,4.068906175877189,-0.7664514575616095,-1.8349055482662389,24.926903,6.0387893,-11.408106,17.236609,5.59477,2.3967626
2,3,66373.0,1,1,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,3,11,0,48,4586,2,606,0,16,0,-0.18182622175649138,1.2999211122789254,1.189777119974078,0.81710595,9.62713,-8.493385,4.104023,4.077453,4.142408
3,5,82384.0,0,0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,3,11,1,71,4791,0,1957,1,26,3,4.581107522194887,1.0081130589116545,-0.2849735467899826,17.393246,4.0712543,-10.65906,17.150377,4.7782063,2.1513498
2,2,70287.0,0,0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,3,11,1,60,4657,0,1093,0,20,3,2.3632285514162796,0.29081650297852957,-1.3618711875946068,17.086367,3.552204,-16.618538,16.61645,4.5930805,2.4064167
2,4,27938.0,1,0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,3,11,0,38,4266,1,29,0,5,2,-1.4048664857945699,-2.2343443416871533,-0.8609687716313199,-14.243931,1.6391941,10.619935,5.1744504,3.8063433,8.287716
2,4,51381.5,1,0,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,3,11,0,44,4581,1,46,0,5,2,-1.309802528511227,-0.6719831805085501,-0.5344707336061529,-18.527554,-5.944765,1.0668375,4.972863,3.2253768,7.7565117
4,3,55954.0,0,1,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,3,11,0,58,4322,1,518,0,16,0,-0.19890812922568157,-0.04946094098803047,1.142349778984306,0.9046049,-11.770782,3.1535628,4.9829392,5.8717475,6.9077144
3,4,75777.0,0,0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,3,11,1,44,4564,0,1438,2,20,3,3.85896269429924,0.15801893900464592,-2.385301885747037,23.620142,4.0959277,-12.198749,17.159834,5.545162,2.6124666
2,5,66653.0,1,1,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,3,11,0,51,4864,2,612,0,18,0,0.23446591892644494,1.2517023812821866,0.5608609457780968,12.430052,9.824735,4.7829156,5.0996637,6.924847,5.3963637
2,4,61823.0,0,1,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,3,11,0,74,4700,1,884,0,20,0,0.44426211038707203,1.4325306847218369,1.0161250122634877,6.9582453,3.6894455,2.6168454,4.5943446,6.7443175,5.4972997
4,6,67680.0,0,1,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,3,11,0,75,4587,1,606,0,18,1,0.887151816264962,0.07183078902436184,1.4551702889564253,2.6618881,-13.263631,11.154599,5.6839943,6.3984704,6.087904
2,5,70666.0,0,0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,3,11,0,78,4409,0,1076,0,15,1,1.5944051604563545,-1.0805587848983338,0.994673410627802,9.253183,-4.6990037,16.300688,6.2348533,7.944935,6.6244802
2,3,25721.0,1,0,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,3,11,1,55,4608,1,34,0,4,2,-1.4999645070577519,0.1301960043502205,-1.7226965399043421,7.799023,12.499473,-16.922712,15.768728,2.6797354,1.4146005
2,5,32474.0,1,1,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,3,11,0,59,4253,2,11,0,3,2,-2.280214904344608,-1.105660378546919,-0.011995192330772793,-4.748909,13.810866,-0.5710773,5.4426026,2.698664,4.734936
0,4,88194.0,0,1,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,3,11,1,47,4306,1,1274,2,31,3,3.4759200197158844,0.4641923253450294,-2.2172952804557613,28.218752,3.7756367,-11.525971,17.288343,5.564057,2.4110708
2,5,69096.0,0,1,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,3,11,0,68,4479,1,653,0,17,1,0.8512584232480704,-0.6264835985285795,0.6875249910199724,5.3314266,-5.272896,13.847336,5.727625,6.987071,6.6334853
2,5,74854.0,1,2,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,3,11,0,56,4651,3,1562,0,12,0,-0.11419205490040249,2.1774293221812395,2.2424025601442787,2.9304829,-0.035542406,-15.318643,4.08148,4.5013194,4.3801517
3,3,66991.0,0,0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,3,11,0,72,4860,0,1253,0,18,1,1.8677161473047883,0.7873433340967256,0.4766542313133532,11.522482,-6.8204,6.82809,4.972841,8.130492,7.057681
0,3,51381.5,1,0,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,3,11,0,53,4857,1,109,0,6,2,-1.602376873849175,0.6348003281928868,-1.2827772590667068,-21.578821,4.9913635,2.2274008,3.7412536,2.699813,8.2563305
2,3,65031.0,0,1,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,3,11,0,67,4673,1,863,0,26,0,0.7924964553766167,1.4910123794741348,0.838096145678783,8.390266,2.765817,1.0271864,4.234058,6.886311,5.493796
4,3,60631.0,1,1,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,3,11,0,51,4654,2,661,1,19,0,0.01802225331310728,1.909185948397762,1.0711291277241743,1.576912,6.172449,-5.476554,4.0608816,5.722743,5.6142755
2,3,28332.0,0,0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,3,11,0,74,4264,0,65,0,7,2,-0.42533422545409916,-2.354120141828655,0.5678543635694058,-9.299181,-2.744633,13.7730255,5.136587,5.6437807,8.159654
2,2,40246.0,1,0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,3,11,0,49,4761,1,13,0,3,2,-1.621219225831687,-0.5458638663661362,-0.8521351879287478,-14.997808,3.6910872,-1.9294459,5.723985,2.3627443,8.141311
3,3,75251.0,0,0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,3,11,1,54,4875,0,1890,0,18,3,2.736191992245575,1.2794942668732485,-1.561892202267386,17.42783,6.405199,-15.944417,16.484058,4.6465707,2.4135668
2,4,75825.0,0,0,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,3,11,1,50,4829,0,2209,1,22,3,3.796307465207568,0.9070587123359521,-2.1894482320623925,19.54058,5.6086335,-12.813337,16.812904,4.986159,2.435918
0,5,26326.0,0,0,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,3,11,0,50,4502,0,18,0,3,2,-1.3749057276969332,-1.9123333371118572,-1.56987941644449,-10.961207,22.36547,-13.870933,-12.46714,5.812466,3.1521583
2,5,56046.0,0,0,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,3,11,1,61,4747,0,692,1,19,3,1.3401246475600843,1.6013859150170637,-2.1585315374946488,13.417834,15.100963,-11.499289,16.053982,3.6975586,1.3282588
2,4,29760.0,1,0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,3,11,0,41,4873,1,165,0,8,2,-1.9632254472017083,0.9403212060089393,-0.6877350099502066,-18.961409,0.88729054,-7.1014676,4.3657746,2.6255343,7.28779
2,3,26304.0,1,0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,3,11,0,57,4575,1,16,0,3,2,-2.0067915910157024,-0.6557674666458424,-1.0061954513384705,-18.363417,5.7658243,3.0905044,4.0394115,3.2052073,8.2561455
0,3,23559.0,1,0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,3,11,0,53,4565,1,79,0,6,2,-2.1438196930841182,-0.44706053506104315,-0.6301974375509496,-24.88259,-1.4479883,-1.1825448,4.264587,1.7004586,8.109757
3,5,38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,63,4618,0,318,0,10,1,0.07417968330025482,-1.1902987591911325,0.27622902777209635,-6.994329,-16.127289,6.4339457,5.557742,5.1581163,7.027268
2,2,81361.0,0,0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,3,11,0,39,4328,0,778,0,26,1,2.3697269948957587,-1.7524573168111113,-0.4452408533950359,11.285055,-13.705494,11.131724,5.474121,8.642074,6.7820067
2,3,29440.0,1,1,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,3,11,0,66,4526,2,56,0,5,2,-2.2408916352908173,-0.18920750408554687,0.8497240179897255,-10.272184,3.7353246,-6.9287424,4.608593,2.2813883,4.692391
3,3,36138.0,1,1,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,3,11,0,56,4552,2,151,1,8,0,-1.6218762417930914,1.2067761673667485,0.27695588034842805,-0.18437174,6.0089517,-6.817137,4.3938203,3.3612087,4.366571
2,4,50388.0,0,1,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,3,11,1,69,4236,1,372,2,13,0,0.6054474613496169,1.1542451898989317,-1.3997210472644543,12.853765,17.347065,-14.605823,15.626407,3.2396967,1.2969711
2,3,79593.0,0,0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,3,11,0,53,4252,0,1366,1,18,1,2.6849072181580382,-1.7431144419129332,0.100250387865512,21.775715,-4.086176,3.208672,6.1108594,9.947561,6.3117595
2,5,54178.0,0,1,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,3,11,0,59,4363,1,194,0,9,1,-0.1283054025502415,-1.8719559105906394,0.8940676436591373,-9.899969,-10.646013,4.88511,5.7688494,4.4867597,6.6204867
4,3,51381.5,2,1,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,3,11,0,69,4791,3,603,0,17,0,-1.8168430585639406,5.137856198735978,2.4124261855161837,5.7753925,3.6632743,-11.07525,3.7538843,4.4475965,4.076775
2,4,51381.5,1,1,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,69,4237,2,18,0,3,2,-1.7992732616545561,-1.114305009740142,0.9251918937532685,-4.639031,11.601729,-0.7682098,5.3041954,2.5382419,4.4564967
3,5,51381.5,0,0,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,3,11,0,53,4422,0,985,0,14,1,1.3302340990641879,-1.8647418139448668,0.6847683373422626,16.509497,-6.722673,15.936054,6.488074,8.891298,7.0554695
3,4,42394.0,1,0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,3,11,0,54,4302,1,32,0,4,2,-1.5526004889046416,-1.3873743338795077,0.2201252404915568,-13.911275,-10.907867,2.808055,5.961996,3.5150096,7.322481
4,3,23626.0,1,0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,3,11,0,56,4240,1,43,0,7,2,-1.5785874471430998,-1.057303434185609,0.9452894551976163,-12.762218,-14.846477,3.3628488,6.0563893,3.9524245,7.547738
2,3,30096.0,1,0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,3,11,0,43,4242,1,45,0,5,2,-1.7635929918405295,-1.7702434553505009,-0.915948001899945,-16.235909,3.1103406,7.4475336,5.219304,3.389404,8.868901
2,6,47916.0,0,1,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,3,11,0,66,4788,1,606,1,17,0,0.19175764973724488,1.5689869710888702,0.7314839224553192,8.808917,6.8984427,7.6215644,4.9099894,6.187498,5.1424313
2,2,51813.0,1,1,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,3,11,0,54,4648,2,63,0,5,2,-1.809748228384906,0.19299125680110077,-0.19814046461217633,-10.904002,8.339182,-6.3333235,4.517533,2.4305427,4.3553386
0,3,78497.0,0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,3,11,0,75,4414,0,978,1,24,1,2.7744178042942598,-1.1699631232406777,0.2746898577696842,25.449793,-7.069306,8.691588,6.009496,10.417933,6.5222144
4,3,50150.0,0,0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,3,11,0,43,4578,0,410,0,14,2,0.1721868336522017,-0.5269956497984842,-0.5207286309935517,-10.634977,6.920618,12.397624,5.257336,4.52205,8.741084
0,4,47823.0,0,1,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,3,11,0,66,4545,1,72,0,5,2,-1.610484794988025,-0.31249526259054405,-0.739021150030278,-23.428865,4.373752,3.884774,3.8893273,2.097235,8.658291
